sample_id,candidate_tag,no_keyword_flag,question,options_text,answer_idx,answer,meta_info,source_file,parametric_prior_disease_query,patient_profile_json,gold_admissible_set_json,gold_per_action_status_json,gold_scsr_needed,gold_scsr_query,gold_memory_conflict_label,reviewer,notes
MACB-001,SC_ABSOLUTE_CAND,false,"A 31-year-old woman, gravida 2, para 1, at 32 weeks' gestation comes to the emergency department for sudden leakage of clear vaginal fluid. Her pregnancy has been uncomplicated. Her first child was born at term by vaginal delivery. She has no history of serious illness. She does not drink alcohol or smoke cigarettes. Current medications include vitamin supplements. Her temperature is 37.2°C (98.9°F), pulse is 70/min, respirations are 18/min, and blood pressure is 128/82 mm Hg. Speculum examination demonstrates clear fluid in the cervical canal. The fetal heart rate is reactive at 160/min with no decelerations. Tocometry shows uterine contractions. Nitrazine testing is positive. She is started on indomethacin. Which of the following is the most appropriate next step in management?","A: Administer betamethasone, ampicillin, and proceed with cesarean section | B: Administer ampicillin and perform amnioinfusion | C: Administer ampicillin and test amniotic fluid for fetal lung maturity | D: Administer betamethasone and ampicillin | E: Administer betamethasone, ampicillin, and proceed with induction of labor",D,Administer betamethasone and ampicillin,step2&3,data_clean/questions/US/train.jsonl,What is the standard treatment for a patient at 32 weeks gestation with preterm labor?,"{""allergies"": [], ""pregnancy"": true, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 31, ""other_constraints"": [""32 weeks gestation"", ""preterm premature rupture of membranes (PPROM) suspected"", ""uterine contractions present"", ""received indomethacin (tocolytic)""]}","[""D""]","{""A"": ""INADMISSIBLE_ABS"", ""B"": ""INADMISSIBLE_ABS"", ""C"": ""NOT_APPLICABLE"", ""D"": ""ADMISSIBLE"", ""E"": ""INADMISSIBLE_ABS""}",false,,NO_CONFLICT,auto:MiniMax-M2.5,"At 32 weeks with PPROM, the standard management is betamethasone for fetal lung maturity plus ampicillin for GBS prophylaxis and to prolong latency. Cesarean section and labor induction are not indicated without maternal/fetal indication. Amnioinfusion is not a standard intervention for PPROM. Testing for lung maturity would delay necessary treatment."
MACB-002,SC_ABSOLUTE_CAND,false,"A 27-year-old woman with a history of bipolar disorder presents for a 3-month follow-up after starting treatment with lithium. She says she has been compliant with her medication but has experienced no improvement. The patient has no other significant past medical history and takes no other medications. She reports no known allergies. The patient is afebrile, and her vital signs are within normal limits. A physical examination is unremarkable. The patient is switched to a different medication. The patient presents 2 weeks later with an acute onset rash on her torso consisting of targetoid lesions with a vesicular center. She says the rash developed 2 days ago which has progressively worsened. She also says that 1 week ago she developed fever, lethargy, myalgia, and chills that resolved in 3 days. Which of the following drugs was this patient most likely prescribed?",A: Quetiapine | B: Lamotrigine | C: Valproate | D: Olanzapine-fluoxetine combination (OFC) | E: Paroxetine,B,Lamotrigine,step2&3,data_clean/questions/US/test.jsonl,,"{""allergies"": [], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 27, ""other_constraints"": [""bipolar disorder"", ""lithium treatment failure""]}","[""B""]","{""A"": ""ADMISSIBLE"", ""B"": ""ADMISSIBLE"", ""C"": ""ADMISSIBLE"", ""D"": ""ADMISSIBLE"", ""E"": ""ADMISSIBLE""}",true,"Guideline recommendations for treating bipolar disorder in women of childbearing age after lithium failure, focusing on safety of alternative agents quetiapine, lamotrigine, valproate, olanzapine‑fluoxetine, and paroxetine.",NO_CONFLICT,reannotation:MiniMax-M2.5,Targetoid vesicular rash 2 weeks after starting lamotrigine is classic for lamotrigine-induced Stevens-Johnson syndrome/erythema multiforme; patient had prodromal fever myalgia 1 week prior.
MACB-003,SC_ABSOLUTE_CAND,false,"A 28-year-old woman presents with an abnormal vaginal discharge for the past week. She maintains a monogamous relationship but denies the use of barrier protection with her partner. She is 5 weeks late for her menstrual cycle. Subsequent testing demonstrates a positive pregnancy test. A wet mount demonstrates motile, pear-shaped organisms. Which of the following is the most appropriate treatment for this patient?",A: Azithromycin | B: Fluconazole | C: Metronidazole | D: Ceftriaxone | E: Tinidazole,C,Metronidazole,step1,data_clean/questions/US/train.jsonl,What is the standard treatment for trichomoniasis in pregnant patients?,"{""allergies"": [], ""pregnancy"": true, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 28, ""other_constraints"": []}","[""C""]","{""A"": ""NOT_APPLICABLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""ADMISSIBLE"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NO_CONFLICT,auto:MiniMax-M2.5,"The wet mount showing motile pear-shaped organisms confirms Trichomonas vaginalis infection. The patient is pregnant (positive test, amenorrhea), and metronidazole is the standard treatment for trichomoniasis in pregnant patients. All other options target different organisms (azithromycin/ceftriaxone for bacteria, fluconazole for fungi) and are not appropriate treatments for trichomoniasis."
MACB-004,SC_ABSOLUTE_CAND,false,"A 13-day-old male is brought in by his mother for eye redness and ocular discharge. Additionally, the mother reports that the patient has developed a cough and nasal discharge. Pregnancy and delivery were uncomplicated, but during the third trimester, the mother had limited prenatal care. Immediately after delivery, the baby was given silver nitrate drops and vitamin K. Upon visual examination of the eyes, mucoid ocular discharge and eyelid swelling are noted. A fluorescein test is negative. On lung exam, scattered crackles are appreciated. A chest radiograph is performed that shows hyperinflation with bilateral infiltrates. Which of the following is the best pharmacotherapy for this patient's underlying condition?",A: Artificial tears | B: Intravenous ceftriaxone | C: Topical erythromycin | D: Oral erythromycin | E: Intravenous acyclovir,D,Oral erythromycin,step2&3,data_clean/questions/US/train.jsonl,What is the standard pharmacotherapy for Chlamydia trachomatis pneumonia in a neonate?,"{""allergies"": [], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 0.036, ""other_constraints"": [""newborn_13_days"", ""neonatal_dosing_considerations""]}","[""D""]","{""letter"": ""ADMISSIBLE""}",false,,NO_CONFLICT,,"Classic presentation of neonatal Chlamydia trachomatis infection (inclusion conjunctivitis with pneumonitis). The 13-day-old infant with mucoid ocular discharge, negative fluorescein, and bilateral infiltrates with hyperinflation on CXR is pathognomonic. Oral erythromycin is the standard treatment for chlamydial conjunctivitis and pneumonia in neonates. The maternal history of limited prenatal care is a risk factor for undiagnosed chlamydia."
MACB-005,SC_ABSOLUTE_CAND,false,"A 41-year-old homeless man is brought to the emergency department complaining of severe fever, dizziness, and a persistent cough. The patient has a history of long-standing alcohol abuse and has frequently presented to the emergency department with acute alcohol intoxication. The patient states that his cough produces ‘dark brown stuff’ and he provided a sample for evaluation upon request. The patient denies having any other underlying medical conditions and states that he has no other symptoms. He denies taking any medications, although he states that he knows he has a sulfa allergy. On observation, the patient looks frail and severely fatigued. The vital signs include: blood pressure 102/72 mm Hg, pulse 98/min, respiratory rate 15/min, and temperature 37.1°C (98.8°F). Auscultation reveals crackles in the left upper lobe and chest X-ray reveals an infiltrate in the same area. Which of the following is the most appropriate treatment for this patient?",A: Vancomycin | B: Piperacillin-tazobactam | C: Clindamycin | D: Ciprofloxacin | E: Trimethoprim-sulfamethoxazole,D,Ciprofloxacin,step2&3,data_clean/questions/US/train.jsonl,What is the standard treatment for Klebsiella pneumoniae pneumonia in a patient with a history of alcohol abuse?,"{""allergies"": [""sulfa""], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 41, ""other_constraints"": [""alcohol abuse (chronic)"", ""homeless/possible malnutrition"", ""rusty/brown sputum - classic for Klebsiella pneumoniae""]}","[""D""]","{""A"": ""INADMISSIBLE_ABS"", ""B"": ""NOT_APPLICABLE"", ""C"": ""NOT_APPLICABLE"", ""D"": ""ADMISSIBLE"", ""E"": ""INADMISSIBLE_ABS""}",false,,NO_CONFLICT,auto:MiniMax-M2.5,"Classic Klebsiella pneumoniae presentation (rusty brown sputum, upper lobe infiltrate, alcoholic patient). Standard treatment is third-generation cephalosporin, but ciprofloxacin (fluoroquinolone) provides appropriate Gram-negative coverage and avoids the patient's sulfa allergy and other contraindications. TMP-SMX is absolutely contraindicated due to sulfa allergy; vancomycin doesn't cover Klebsiella; piperacillin-tazobactam and clindamycin are not optimal for this specific pathogen."
MACB-006,SC_ABSOLUTE_CAND,false,"A 32-year-old woman, gravida 2, para 1, at 32 weeks' gestation comes to the physician for a prenatal visit. She reports that she has had frequent headaches and dizziness recently. Pregnancy and delivery of her first child were uncomplicated. There is no personal or family history of serious illness. Medications include folic acid and a multivitamin. Her temperature is 37°C (98.6°F), pulse is 90/min, and blood pressure is 170/100 mm Hg. Pelvic examination shows a uterus consistent in size with a 32-week gestation. Physical examination shows 2+ edema in the lower extremities. Laboratory studies show:
Hematocrit 37%
Leukocyte count 9000/mm3
Platelet count 60,000/mm3
Serum
Na+ 140 mEq/L
Cl- 104 mEq/L
K+ 4.4 mEq/L
Creatinine 1.0 mg/dL
Aspartate aminotransferase 20 U/L
Alanine aminotransferase 20 U/L
Which of the following is the most appropriate next step in management?""","A: Magnesium sulfate and labetalol therapy | B: Platelet transfusion | C: Lisinopril therapy | D: Admit the patient to the ICU | E: Perform C-section
""",A,Magnesium sulfate and labetalol therapy,step2&3,data_clean/questions/US/train.jsonl,What is the standard treatment for severe preeclampsia in a pregnant patient at 32 weeks gestation?,"{""allergies"": [], ""pregnancy"": true, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 32, ""other_constraints"": [""32 weeks gestation"", ""severe preeclampsia (BP 170/100, headache, thrombocytopenia with platelets 60,000)""]}","[""A""]","{""A"": ""ADMISSIBLE"", ""B"": ""NOT_APPLICABLE"", ""C"": ""INADMISSIBLE_ABS"", ""D"": ""NOT_APPLICABLE"", ""E"": ""NOT_APPLICABLE""}",false,,NO_CONFLICT,auto:MiniMax-M2.5,"This is severe preeclampsia at 32 weeks with severe hypertension, headache, and thrombocytopenia. Standard management includes antihypertensives (labetalol) for blood pressure control and magnesium sulfate for seizure prophylaxis. Lisinopril is absolutely contraindicated in pregnancy (teratogenic). The other options are not applicable as they are either not treatments (platelet transfusion, C-section, ICU admission) or not the first-line approach."
MACB-007,SC_ABSOLUTE_CAND,false,"A 23-year-old pregnant woman at 22 weeks gestation presents with burning upon urination. She states it started 1 day ago and has been worsening despite drinking more water and taking cranberry extract. She otherwise feels well and is followed by a doctor for her pregnancy. Her temperature is 97.7°F (36.5°C), blood pressure is 122/77 mmHg, pulse is 80/min, respirations are 19/min, and oxygen saturation is 98% on room air. Physical exam is notable for an absence of costovertebral angle tenderness and a gravid uterus. Which of the following is the best treatment for this patient?",A: Ampicillin | B: Ceftriaxone | C: Ciprofloxacin | D: Doxycycline | E: Nitrofurantoin,E,Nitrofurantoin,step2&3,data_clean/questions/US/train.jsonl,What is the standard first‑line treatment for an uncomplicated urinary tract infection in a pregnant patient at 22 weeks gestation?,"{""allergies"": [], ""pregnancy"": true, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 23, ""other_constraints"": [""22 weeks gestation""]}","[""A"", ""B"", ""E""]","{""A"": ""ADMISSIBLE"", ""B"": ""ADMISSIBLE"", ""C"": ""INADMISSIBLE_REL"", ""D"": ""INADMISSIBLE_ABS"", ""E"": ""ADMISSIBLE""}",false,,NO_CONFLICT,auto:MiniMax-M2.5,"Nitrofurantoin is first-line for cystitis in pregnancy (category B), safe at 22 weeks. Doxycycline is absolutely contraindicated in pregnancy (category D), ciprofloxacin is relatively contraindicated. The LLM prior correctly identifies nitrofurantoin as appropriate."
MACB-008,SC_ABSOLUTE_CAND,false,"A 23-year-old woman, gravida 2, para 1, at 13 weeks gestation, comes to the physician because of a 2-day history of burning pain during urination. She has been sexually active with different male partners during the pregnancy and did not use condoms. She has not had any fever, chills, or pelvic pain. Physical examination shows thick, purulent discharge from the urethra. Urine dipstick shows leukocyte esterase, urinalysis shows 10 WBCs/hpf, and Gram stain of the urethral swab shows polymorphonuclear leukocytes with intracellular gram-negative diplococci. Pelvic ultrasound shows a viable intrauterine pregnancy. Which of the following is the most appropriate treatment?","A: Oral levofloxacin | B: Oral cefixime and oral doxycycline | C: Intramuscular ceftriaxone | D: Oral erythromycin | E: Intramuscular ceftriaxone and oral azithromycin
""",E,"Intramuscular ceftriaxone and oral azithromycin
""",step1,data_clean/questions/US/dev.jsonl,What is the standard treatment for gonorrhea in a pregnant patient?,"{""allergies"": [], ""pregnancy"": true, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 23, ""other_constraints"": [""13 weeks gestation""]}","[""E""]","{""A"": ""INADMISSIBLE_ABS"", ""B"": ""INADMISSIBLE_ABS"", ""C"": ""INADMISSIBLE_REL"", ""D"": ""INADMISSIBLE_ABS"", ""E"": ""ADMISSIBLE""}",true,What are the drug contraindications and dosing recommendations for patients who are pregnant at 13 weeks gestation (first trimester)?,NO_CONFLICT,auto:MiniMax-M2.5,"Pregnant patients with gonorrhea require ceftriaxone + azithromycin dual therapy; option B (doxycycline) and A (fluoroquinolones) are absolutely contraindicated in pregnancy, while option C alone (without azithromycin) is relatively contraindicated as it doesn't cover potential chlamydia co-infection per CDC guidelines."
MACB-009,SC_ABSOLUTE_CAND,false,"A 31-year-old woman comes to the emergency department requesting an abortion. She hears voices telling her that she needs """"to undergo a cleanse."""" She experiences daytime sleepiness because she repeatedly wakes up at night. She says that she is no longer interested in activities that she used to enjoy. About 2 months ago, her psychiatrist switched her medication from aripiprazole to risperidone because it was not effective even at maximum dose. Vital signs are within normal limits. Mental status examination shows accelerated speech, and the patient regularly switches the conversation to the natural habitat of bees. A urine pregnancy test is positive. Toxicology screening is negative. Pelvic ultrasonography shows a pregnancy at an estimated 15 weeks' gestation. Following admission to the hospital, which of the following is the most appropriate next step in management?""",A: Clozapine therapy | B: Quetiapine therapy | C: Electroconvulsive therapy | D: Clomipramine therapy | E: Lithium therapy,A,Clozapine therapy,step2&3,data_clean/questions/US/train.jsonl,,"{""allergies"": [], ""pregnancy"": true, ""renal_impairment"": null, ""hepatic_impairment"": null, ""age_years"": 31, ""other_constraints"": [""15 weeks pregnant"", ""treatment-resistant schizophrenia with failed trials of aripiprazole and risperidone"", ""auditory hallucinations"", ""disorganized speech"", ""patient requests abortion""]}","[""A""]","{""A"": ""ADMISSIBLE"", ""B"": ""INADMISSIBLE_REL"", ""C"": ""INADMISSIBLE_REL"", ""D"": ""INADMISSIBLE_ABS"", ""E"": ""INADMISSIBLE_ABS""}",false,,NO_CONFLICT,reannotation:MiniMax-M2.5,"Clozapine is the treatment of choice for treatment-resistant schizophrenia and is safe in pregnancy (Category B), while lithium and clomipramine are absolutely contraindicated in pregnancy."
MACB-010,SC_ABSOLUTE_CAND,false,"A 42-year-old man comes to the physician after elevated liver function tests were found after a routine screening. He has had occasional headaches over the past year, but otherwise feels well. The patient reports that he was involved in a severe car accident 30 years ago. He does not smoke or drink alcohol. He has never used illicit intravenous drugs. He takes no medications and has no known allergies. His father had a history of alcoholism and died of liver cancer. The patient appears thin. His temperature is 37.8°C (100°F), pulse is 100/min, and blood pressure is 110/70 mm Hg. Physical examination shows no abnormalities. Laboratory studies show:
Hemoglobin 14 g/dL
Leukocyte count 10,000/mm3
Platelet count 146,000/mm3
Serum
Glucose 150 mg/dL
Albumin 3.2 g/dL
Total bilirubin 1.5 mg/dL
Alkaline phosphatase 75 U/L
AST 95 U/L
ALT 73 U/L
HIV negative
Hepatitis B surface antigen negative
Hepatitis C antibody positive
HCV RNA positive
HCV genotype 1
A liver biopsy is performed and shows mononuclear infiltrates that are limited to portal tracts and periportal hepatocyte necrosis. Which of the following is the most appropriate next step in management?""",A: Sofosbuvir and ledipasvir therapy | B: Tenofovir and velpatasvir therapy | C: Interferon and ribavirin therapy | D: Tenofovir and entecavir therapy | E: Schedule a follow-up in 6 months,A,Sofosbuvir and ledipasvir therapy,step2&3,data_clean/questions/US/test.jsonl,What is the standard treatment for hepatitis C genotype 1 infection?,"{""allergies"": [], ""pregnancy"": false, ""renal_impairment"": null, ""hepatic_impairment"": ""chronic hepatitis C with elevated LFTs (AST 95, ALT 73)"", ""age_years"": 42, ""other_constraints"": [""HCV genotype 1""]}","[""A""]","{""A"": ""ADMISSIBLE"", ""B"": ""INADMISSIBLE_ABS"", ""C"": ""INADMISSIBLE_REL"", ""D"": ""INADMISSIBLE_ABS"", ""E"": ""NOT_APPLICABLE""}",false,,NO_CONFLICT,auto:MiniMax-M2.5,"Patient has confirmed chronic hepatitis C genotype 1 requiring treatment. Sofosbuvir/ledipasvir (option A) is an appropriate direct-acting antiviral regimen for HCV genotype 1. Other options are either incorrect drugs for HCV (tenofovir/entecavir for HBV), outdated therapy (interferon/ribavirin), or non-treatment (follow-up)."
